日期,淨值
2021/03/19,14.3200
2021/03/18,14.1800
2021/03/17,14.5800
2021/03/16,14.5000
2021/03/15,14.4100
2021/03/12,14.3700
2021/03/11,14.4800
2021/03/10,14.0800
2021/03/09,14.1400
2021/03/08,13.6900
2021/03/05,14.2100
2021/03/04,14.1900
2021/03/03,14.7400
2021/03/02,15.1800
2021/02/26,15.1000
2021/02/25,15.0500
2021/02/24,15.4400
2021/02/23,15.3900
2021/02/22,15.5000
2021/02/19,15.9700
2021/02/18,15.8700
2021/02/17,15.9700
2021/02/09,15.6800
2021/02/08,15.6200
2021/02/05,15.4900
2021/02/04,15.4800
2021/02/03,15.5000
2021/02/02,15.5800
2021/02/01,15.3700
2021/01/29,15.0700
2021/01/28,15.3100
2021/01/27,15.3900
2021/01/26,15.6300
2021/01/25,15.8100
2021/01/22,15.7200
2021/01/21,15.7700
2021/01/20,15.7000
2021/01/19,15.5600
2021/01/15,15.2900
2021/01/14,15.4200
2021/01/13,15.3100
2021/01/12,15.3100
2021/01/11,15.3100
2021/01/08,15.2500
2021/01/07,15.0300
2021/01/06,14.7600
2021/01/05,14.8700
2021/01/04,14.6700
2020/12/31,14.7500
2020/12/30,14.7500
2020/12/29,14.6100
2020/12/24,14.7200
2020/12/23,14.7300
2020/12/22,14.7200
2020/12/21,14.6000
2020/12/18,14.6500
2020/12/17,14.6400
2020/12/16,14.4600
2020/12/15,14.3700
2020/12/14,14.2200
2020/12/11,14.1800
2020/12/10,14.2500
2020/12/09,14.2100
2020/12/08,14.4500
2020/12/07,14.3300
2020/12/04,14.2500
2020/12/03,14.1900
2020/12/02,14.0900
2020/12/01,14.1600
2020/11/30,14.0800
2020/11/27,13.9900
2020/11/25,13.8000
2020/11/24,13.7500
2020/11/23,13.7200
2020/11/20,13.6300
2020/11/19,13.5700
2020/11/18,13.3800
2020/11/17,13.4700
2020/11/16,13.5000
2020/11/13,13.4200
2020/11/12,13.3400
2020/11/11,13.3000
2020/11/10,13.0500
2020/11/09,13.3900
2020/11/06,13.6200
2020/11/05,13.4600
2020/11/04,13.0800
2020/11/03,12.6300
2020/11/02,12.4600
2020/10/30,12.4900
2020/10/29,12.6800
2020/10/28,12.5200
2020/10/27,12.7600
2020/10/26,12.7600
2020/10/23,12.8900
2020/10/22,12.8100
2020/10/21,12.8000
2020/10/20,12.8600
2020/10/19,12.8700
2020/10/16,12.8800
2020/10/15,12.9100
2020/10/14,12.9700
2020/10/13,13.0600
2020/10/12,12.9900
2020/10/07,12.5800
2020/10/06,12.3700
2020/10/05,12.4300
2020/09/30,12.2600
2020/09/29,12.2700
2020/09/28,12.2400
2020/09/25,12.0800
2020/09/24,11.9700
2020/09/23,11.9600
2020/09/22,12.1300
2020/09/21,12.0100
2020/09/18,11.9200
2020/09/17,11.9800
2020/09/16,12.0500
2020/09/15,12.1200
2020/09/14,12.0200
2020/09/11,11.8400
2020/09/10,11.8700
2020/09/09,12.0000
2020/09/08,11.8600
2020/09/04,12.1300
2020/09/03,12.3500
2020/09/02,12.9100
2020/09/01,12.6900
2020/08/28,12.5100
2020/08/27,12.4500
2020/08/26,12.5600
2020/08/25,12.3300
2020/08/24,12.2300
2020/08/21,12.1900
2020/08/20,12.2200
2020/08/19,12.2700
2020/08/18,12.3000
2020/08/17,12.3200
2020/08/14,12.2800
2020/08/13,12.3400
2020/08/12,12.2800
2020/08/11,12.1400
2020/08/10,12.2900
2020/08/07,12.4200
2020/08/06,12.5500
2020/08/05,12.5800
2020/08/04,12.4700
2020/08/03,12.3300
2020/07/31,12.2000
2020/07/30,12.2600
2020/07/29,12.1200
2020/07/28,11.9600
2020/07/27,12.0200
2020/07/24,11.8600
2020/07/23,11.9400
2020/07/22,11.9600
2020/07/21,11.9700
2020/07/20,11.9400
2020/07/17,11.7300
2020/07/16,11.5800
2020/07/15,11.7200
2020/07/14,11.6400
2020/07/13,11.5900
2020/07/10,11.8400
2020/07/09,11.9300
2020/07/08,11.8500
2020/07/07,11.6600
2020/07/06,11.7400
2020/07/02,11.4700
2020/07/01,11.4100
2020/06/30,11.4300
2020/06/29,11.2400
2020/06/24,11.2900
2020/06/23,11.4800
2020/06/22,11.4700
2020/06/19,11.3900
2020/06/18,11.3600
2020/06/17,11.3300
2020/06/16,11.3000
2020/06/15,11.0800
2020/06/12,11.0200
2020/06/11,10.9800
2020/06/10,11.4800
2020/06/09,11.3700
2020/06/08,11.3700
2020/06/05,11.3500
2020/06/04,11.2600
2020/06/03,11.3400
